# Command: adb -s [REDACTED_IP]:3268 shell sh -c getprop | grep -E "^\[(ro\.boot|ro\.build|ro\.product|sys\.boot)"
# Collected UTC: 2026-07-15T09:53:02Z
# Timeout: 90s

[ro.boot.baseband]: [N/A]
[ro.boot.boot_devices]: [ff390000.dwmmc,ff3b0000.nandc,ff390000.mmc]
[ro.boot.bootreason]: [reboot,fastboot]
[ro.boot.console]: [ttyFIQ0]
[ro.boot.dtb_idx]: [0]
[ro.boot.dtbo_idx]: [0]
[ro.boot.dynamic_partitions]: [true]
[ro.boot.flash.locked]: [1]
[ro.boot.hardware]: [rk30board]
[ro.boot.mode]: [normal]
[ro.boot.noril]: [true]
[ro.boot.oem_unlocked]: [0]
[ro.boot.selinux]: [permissive]
[ro.boot.serialno=[REDACTED_ID]]
[ro.boot.storagemedia]: [emmc]
[ro.boot.vendor.overlay.theme]: [com.txcz.update.overlay]
[ro.boot.veritymode]: [enforcing]
[ro.boot.vr]: [0]
[ro.boot.wificountrycode]: [CN]
[ro.bootimage.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.bootimage.build.date.utc]: [1764829536]
[ro.bootimage.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.bootimage.build.id]: [SQ3A.220705.003.A1]
[ro.bootimage.build.tags]: [release-keys]
[ro.bootimage.build.type]: [userdebug]
[ro.bootimage.build.version.incremental]: [eng.20251204.142604]
[ro.bootimage.build.version.release]: [12]
[ro.bootimage.build.version.release_or_codename]: [12]
[ro.bootimage.build.version.sdk]: [32]
[ro.bootloader]: [unknown]
[ro.bootmode]: [normal]
[ro.boottime.adbd]: [12528278154]
[ro.boottime.android-hardware-media-c2-hal-1-1]: [11585035643]
[ro.boottime.apexd]: [9100844768]
[ro.boottime.apexd-bootstrap]: [5275750384]
[ro.boottime.apexd-snapshotde]: [10296846222]
[ro.boottime.audioserver]: [11786467955]
[ro.boottime.bootanim]: [7425339183]
[ro.boottime.boringssl_self_test32]: [5534191576]
[ro.boottime.boringssl_self_test32_vendor]: [6071953797]
[ro.boottime.boringssl_self_test_apex32]: [12328244967]
[ro.boottime.bpfloader]: [10643857548]
[ro.boottime.cameraserver]: [12569218533]
[ro.boottime.credstore]: [11795455664]
[ro.boottime.daemon12138]: [48287314496]
[ro.boottime.derive_classpath]: [9871574887]
[ro.boottime.derive_sdk]: [9590961776]
[ro.boottime.drm]: [12546129614]
[ro.boottime.dump_kernel_panic]: [10409056233]
[ro.boottime.gatekeeperd]: [18845412747]
[ro.boottime.gpu]: [11827659167]
[ro.boottime.health-hal-2-1]: [11564163974]
[ro.boottime.hidl_memory]: [11468816089]
[ro.boottime.hwservicemanager]: [6664208107]
[ro.boottime.idmap2d]: [12578484784]
[ro.boottime.incidentd]: [12586539160]
[ro.boottime.init]: [3617199092]
[ro.boottime.init.cold_boot_wait]: [335]
[ro.boottime.init.first_stage]: [604984394]
[ro.boottime.init.fsck.cache]: [214]
[ro.boottime.init.fsck.cust]: [70]
[ro.boottime.init.fsck.data]: [236]
[ro.boottime.init.fsck.logo]: [66]
[ro.boottime.init.mount.cache]: [7]
