# Command: adb -s [REDACTED_IP]:3268 shell cat /proc/mounts
# Collected UTC: 2026-07-15T09:52:26Z
# Timeout: 90s

tmpfs /dev tmpfs rw,seclabel,nosuid,relatime,size=493048k,nr_inodes=123262,mode=755 0 0
devpts /dev/pts devpts rw,seclabel,relatime,mode=600,ptmxmode=000 0 0
proc /proc proc rw,relatime,gid=3009,hidepid=2 0 0
sysfs /sys sysfs rw,seclabel,relatime 0 0
selinuxfs /sys/fs/selinux selinuxfs rw,relatime 0 0
tmpfs /mnt tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,size=493048k,nr_inodes=123262,mode=755,gid=1000 0 0
/dev/block/by-name/metadata /metadata ext4 rw,sync,seclabel,nosuid,nodev,noatime,discard 0 0
/dev/block/dm-0 / ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/dm-2 /vendor ext4 ro,seclabel,relatime 0 0
/dev/block/dm-4 /odm ext4 ro,seclabel,relatime 0 0
/dev/block/dm-1 /system_ext ext4 ro,seclabel,relatime 0 0
/dev/block/dm-3 /vendor_dlkm ext4 ro,seclabel,relatime 0 0
/dev/block/dm-5 /odm_dlkm ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /product ext4 ro,seclabel,relatime 0 0
tmpfs /apex tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,size=493048k,nr_inodes=123262,mode=755 0 0
tmpfs /linkerconfig tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,size=493048k,nr_inodes=123262,mode=755 0 0
tmpfs /mnt/installer tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,size=493048k,nr_inodes=123262,mode=755,gid=1000 0 0
tmpfs /mnt/androidwritable tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,size=493048k,nr_inodes=123262,mode=755,gid=1000 0 0
/dev/block/dm-0 /apex/com.android.adbd ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.appsearch ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.art ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.conscrypt ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.i18n ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.ipsec ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.media ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.media.swcodec ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.mediaprovider ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.neuralnetworks ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.os.statsd ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.permission ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.resolv ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.runtime ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.scheduling ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.sdkext ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.tethering ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.tzdata ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.vndk.v32 ext4 ro,seclabel,relatime 0 0
/dev/block/dm-0 /apex/com.android.wifi ext4 ro,seclabel,relatime 0 0
none /dev/blkio cgroup rw,nosuid,nodev,noexec,relatime,blkio 0 0
none /sys/fs/cgroup cgroup2 rw,nosuid,nodev,noexec,relatime 0 0
none /dev/cpuctl cgroup rw,nosuid,nodev,noexec,relatime,cpu 0 0
none /dev/cpuset cgroup rw,nosuid,nodev,noexec,relatime,cpuset,noprefix,release_agent=/sbin/cpuset_release_agent 0 0
none /dev/memcg cgroup rw,nosuid,nodev,noexec,relatime,memory 0 0
none /dev/stune cgroup rw,nosuid,nodev,noexec,relatime,schedtune 0 0
tmpfs /linkerconfig tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,size=493048k,nr_inodes=123262,mode=755 0 0
tracefs /sys/kernel/tracing tracefs rw,seclabel,relatime,gid=3012,mode=755 0 0
/sys/kernel/debug /sys/kernel/debug debugfs rw,seclabel,relatime 0 0
/sys/kernel/debug/tracing /sys/kernel/debug/tracing tracefs rw,seclabel,relatime,gid=3012,mode=755 0 0
none /config configfs rw,nosuid,nodev,noexec,relatime 0 0
binder /dev/binderfs binder rw,relatime,max=1048576,stats=global 0 0
none /sys/fs/fuse/connections fusectl rw,relatime 0 0
bpf /sys/fs/bpf bpf rw,nosuid,nodev,noexec,relatime 0 0
pstore /sys/fs/pstore pstore rw,seclabel,nosuid,nodev,noexec,relatime 0 0
/dev/block/by-name/cache /cache ext4 rw,seclabel,nosuid,nodev,noatime,nodiratime,discard,noauto_da_alloc 0 0
/dev/block/by-name/cust /cust ext4 rw,seclabel,nosuid,nodev,noatime,nodiratime,discard,noauto_da_alloc 0 0
/dev/block/by-name/logo /logo ext4 rw,seclabel,nosuid,nodev,noatime,nodiratime,discard,noauto_da_alloc 0 0
tmpfs /storage tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,size=493048k,nr_inodes=123262,mode=755,gid=1000 0 0
/dev/block/by-name/userdata /data ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /data/user/0 ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
tmpfs /data_mirror tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,size=493048k,nr_inodes=123262,mode=700,gid=1000 0 0
/dev/block/by-name/userdata /data_mirror/data_ce/null ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /data_mirror/data_ce/null/0 ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /data_mirror/data_de/null ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /data_mirror/cur_profiles ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /data_mirror/ref_profiles ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
adb /dev/usb-ffs/adb functionfs rw,relatime 0 0
mtp /dev/usb-ffs/mtp functionfs rw,relatime 0 0
ptp /dev/usb-ffs/ptp functionfs rw,relatime 0 0
/dev/fuse /mnt/user/0/emulated fuse rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other 0 0
/dev/fuse /mnt/installer/0/emulated fuse rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other 0 0
/dev/fuse /mnt/androidwritable/0/emulated fuse rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other 0 0
/dev/fuse /storage/emulated fuse rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other 0 0
/dev/block/by-name/userdata /mnt/pass_through/0/emulated ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /mnt/user/0/emulated/0/Android/data ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /storage/emulated/0/Android/data ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /mnt/androidwritable/0/emulated/0/Android/data ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /mnt/installer/0/emulated/0/Android/data ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
/dev/block/by-name/userdata /mnt/user/0/emulated/0/Android/obb ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,resgid=1065,data=ordered 0 0
