# Command: adb -s [REDACTED_IP]:3268 shell cat /proc/partitions
# Collected UTC: 2026-07-15T09:52:25Z
# Timeout: 90s

major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0     262144 loop0
 254        0     742272 zram0
 179        0   30535680 mmcblk0
 179        1   30534639 mmcblk0p1
 179       32    7716864 mmcblk2
 179       33       4096 mmcblk2p1
 179       34       4096 mmcblk2p2
 179       35       4096 mmcblk2p3
 179       36       4096 mmcblk2p4
 179       37       4096 mmcblk2p5
 179       38       1024 mmcblk2p6
 179       39      40960 mmcblk2p7
 179       40     110592 mmcblk2p8
 179       41     380928 mmcblk2p9
 179       42     393216 mmcblk2p10
 179       43      16384 mmcblk2p11
 179       44      65536 mmcblk2p12
 179       45       1024 mmcblk2p13
 179       46      65536 mmcblk2p14
 179       47    2457600 mmcblk2p15
 179       48    4159456 mmcblk2p16
 253        0     774652 dm-0
 253        1      72868 dm-1
 253        2     279156 dm-2
 253        3      22032 dm-3
 253        4     838520 dm-4
 253        5        256 dm-5
 253        6     204532 dm-6
